text,target,category,polarity,from,to
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",Service~oysters~NULL~,SERVICE#GENERAL~FOOD#QUALITY~RESTAURANT#PRICES~,positive~positive~positive~,0~20~0~,7~27~0~
You can't go wrong here.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Restaurant Saul~,RESTAURANT#GENERAL~,positive~,50~,65~
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",NULL~service~decor~,FOOD#QUALITY~SERVICE#GENERAL~AMBIENCE#GENERAL~,positive~positive~positive~,0~47~73~,0~54~78~
I had the duck breast special on my last visit and it was incredible.,duck breast special~,FOOD#QUALITY~,positive~,10~,29~
Can't wait wait for my next visit.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"I had my eyes on this place, promising myself I will one day 'give it a try.' "
And I hate to say this but I doubt I'll ever go back. ,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food~Thai fusion stuff~NULL~,FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~,negative~negative~negative~,4~31~0~,8~48~0~
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree~,FOOD#QUALITY~,positive~,46~,88~
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed~Edamame pureed~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~,positive~positive~,16~16~,30~30~
"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari."
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",place~decor~vent~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~AMBIENCE#GENERAL~,negative~positive~negative~,142~4~60~,147~9~64~
We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.
What's the difference between the two?
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list~NULL~,DRINKS#STYLE_OPTIONS~SERVICE#GENERAL~,positive~positive~,6~0~,15~0~
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",spicy tuna roll~rock shrimp tempura~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,4~47~,19~66~
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service~,SERVICE#GENERAL~,positive~,74~,81~
we love th pink pony.,pink pony~,RESTAURANT#GENERAL~,positive~,11~,20~
THe perfect spot.,spot~,RESTAURANT#GENERAL~,positive~,12~,16~
Food-awesome.,Food~,FOOD#QUALITY~,positive~,0~,4~
Service- friendly and attentive.,Service~,SERVICE#GENERAL~,positive~,0~,7~
Ambiance- relaxed and stylish.,Ambiance~,AMBIENCE#GENERAL~,positive~,0~,8~
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",place~,RESTAURANT#GENERAL~,positive~,17~,22~
"i have eaten here a handful of times, for no reason besides sheer convenience."
"(i hang out, and live, in the neighborhood..) "
the food is decent.,food~,FOOD#QUALITY~,neutral~,4~,8~
"however, it's the service that leaves a bad taste in my mouth.",service~,SERVICE#GENERAL~,negative~,18~,25~
"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter~,SERVICE#GENERAL~,negative~,106~,112~
"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",NULL~,SERVICE#GENERAL~,negative~,0~,0~
"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
the last time i walked by it looked pretty empty. hmmm.,NULL~,RESTAURANT#MISCELLANEOUS~,negative~,0~,0~
This place has got to be the best japanese restaurant in the new york area.,place~,RESTAURANT#GENERAL~,positive~,5~,10~
I had a great experience.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Food is great.,Food~,FOOD#QUALITY~,positive~,0~,4~
Service is top notch.,Service~,SERVICE#GENERAL~,positive~,0~,7~
I have been going back again and again.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin~,FOOD#QUALITY~,positive~,42~,52~
"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",NULL~,FOOD#QUALITY~,positive~,0~,0~
The sushi seemed pretty fresh and was adequately proportioned.,sushi~sushi~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~,positive~positive~,4~4~,9~9~
The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration~,FOOD#STYLE_OPTIONS~,positive~,4~,23~
We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal~half price sushi deal~,FOOD#QUALITY~FOOD#PRICES~,positive~positive~,26~26~,47~47~
I went to this restaurant with a woman that I met recently.
She lives nearby but had never gone to this establishment thinking that it might be too touristy.
Surprisingly nothing could be further from the truth.,NULL~,RESTAURANT#MISCELLANEOUS~,positive~,0~,0~
"In the evening, this place attracted a well dressed, with it, NY crowd.",crowd~,RESTAURANT#MISCELLANEOUS~,positive~,65~,70~
The food was well prepared and the service impecable.,food~service~,FOOD#QUALITY~SERVICE#GENERAL~,positive~positive~,4~35~,8~42~
I'm going back.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot."
Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,NULL~,AMBIENCE#GENERAL~,positive~,0~,0~
"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced."
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu~Prix Fixe menu~Prix Fixe menu~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~FOOD#PRICES~,positive~positive~positive~,4~4~4~,18~18~18~
I will be going back and heartily recommend it!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood."
"It is terrific, as is the value.",NULL~NULL~,FOOD#QUALITY~FOOD#PRICES~,positive~positive~,0~0~,0~0~
"$6 and there is much tasty food, all of it fresh and continually refilled.",food~food~food~,FOOD#STYLE_OPTIONS~FOOD#QUALITY~FOOD#PRICES~,positive~positive~positive~,27~27~27~,31~31~31~
"I am not a vegetarian but, almost all the dishes were great.",dishes~,FOOD#QUALITY~,positive~,42~,48~
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison."
Go hungry and enjoy.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"The food here is rather good, but only if you like to wait for it.",food~NULL~,FOOD#QUALITY~SERVICE#GENERAL~,positive~negative~,4~0~,8~0~
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",somosas~chai~chole~dhosas~dhal~,FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~,positive~positive~positive~negative~negative~,11~20~34~49~60~,18~24~39~55~64~
"The service varys from day to day- sometimes they're very nice, and sometimes not.",service~,SERVICE#GENERAL~,negative~,4~,11~
"The kitchen however, is almost always slow.",kitchen~,SERVICE#GENERAL~,negative~,4~,11~
"Also, specify if you like your food spicy- its rather bland if you don't.",food~,FOOD#QUALITY~,negative~,31~,35~
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience~NULL~,AMBIENCE#GENERAL~RESTAURANT#MISCELLANEOUS~,positive~positive~,4~0~,12~0~
Just went here for my girlfriends 23rd bday.
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view~,LOCATION#GENERAL~,positive~,80~,84~
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service~food~food~,SERVICE#GENERAL~FOOD#QUALITY~FOOD#PRICES~,positive~positive~positive~,18~36~36~,25~40~40~
The lava cake dessert was incredible and I recommend it.,lava cake dessert~,FOOD#QUALITY~,positive~,4~,21~
"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette~,AMBIENCE#GENERAL~,positive~,19~,26~
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant~,AMBIENCE#GENERAL~,positive~,10~,20~
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food~French Onion soup~French Onion soup~desserts~,FOOD#QUALITY~FOOD#QUALITY~FOOD#STYLE_OPTIONS~FOOD#QUALITY~,positive~negative~positive~negative~,4~43~43~104~,8~60~60~112~
"However, go for the ambience, and consider the food just a companion for a trip across the world!",ambience~food~,AMBIENCE#GENERAL~FOOD#QUALITY~,positive~neutral~,20~47~,28~51~
"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week."
IT WAS HORRIBLE.,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
The pizza was delivered cold and the cheese wasn't even fully melted!,pizza~cheese~,FOOD#QUALITY~FOOD#QUALITY~,negative~negative~,4~37~,9~43~
It looked like shredded cheese partly done - still in strips.,NULL~,FOOD#STYLE_OPTIONS~,negative~,0~,0~
I have eaten at many pizza places around NYC and this is hands down the worst.
This has got to be one of the most overrated restaurants in Brooklyn.,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
The pizza is overpriced and soggy.,pizza~pizza~,FOOD#QUALITY~FOOD#PRICES~,negative~negative~,4~4~,9~9~
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients~pizza~crust~,FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~,positive~negative~negative~,20~80~122~,31~85~127~
"A big disappointment, all around.",NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
I think I've had some the best meals of my life at minnow.,meals~,FOOD#QUALITY~,positive~,31~,36~
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood~wine list~menu~,FOOD#QUALITY~DRINKS#STYLE_OPTIONS~FOOD#STYLE_OPTIONS~,positive~positive~positive~,4~39~72~,11~48~76~
The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients~,FOOD#QUALITY~,positive~,31~,42~
Worth the trip from Manhattan.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Was there Friday night.
Best Pastrami I ever had and great portion without being ridiculous.,Pastrami~portion~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~,positive~positive~,5~35~,13~42~
And I've been to many NYC delis.
My wife had the fried shrimp which are huge and loved it.,fried shrimp~fried shrimp~,FOOD#STYLE_OPTIONS~FOOD#QUALITY~,positive~positive~,16~16~,28~28~
Price no more than a Jersey deli but way better.
"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",place~,RESTAURANT#GENERAL~,positive~,105~,110~
This place is the most Japanese it can ever get.,place~,RESTAURANT#MISCELLANEOUS~,positive~,5~,10~
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",signs~specials menus~food~waitstaff~,RESTAURANT#MISCELLANEOUS~FOOD#STYLE_OPTIONS~FOOD#QUALITY~SERVICE#GENERAL~,positive~positive~positive~positive~,4~15~31~54~,9~29~35~63~
This place is worth an one-hour drive.,place~,RESTAURANT#GENERAL~,positive~,5~,10~
"I am so coming back here again, as much as I can.",NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon~Leon~specials~atmosphere~French bistro fare~,RESTAURANT#GENERAL~AMBIENCE#GENERAL~FOOD#QUALITY~AMBIENCE#GENERAL~FOOD#QUALITY~,positive~positive~positive~positive~positive~,0~0~95~123~70~,4~4~103~133~88~
"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff~,SERVICE#GENERAL~,positive~,89~,94~
Sit outside in the warm weather; inside for cozy winter.
Decent wine at reasonable prices.,wine~wine~,DRINKS#QUALITY~DRINKS#PRICES~,neutral~positive~,7~7~,11~11~
Have been dozens of times and never failed to enjoy the experience.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Our teenage kids love it, too.",NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",Zucchero Pomodori~,RESTAURANT#GENERAL~,positive~,89~,106~
This is by far my favorite place in the neighborhood.,place~,RESTAURANT#GENERAL~,positive~,27~,32~
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service~decor~food~portions~,SERVICE#GENERAL~AMBIENCE#GENERAL~FOOD#QUALITY~FOOD#STYLE_OPTIONS~,positive~positive~positive~positive~,4~30~54~91~,11~35~58~99~
"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare."
I'm partial to the Gnocchi.,Gnocchi~,RESTAURANT#GENERAL~,positive~,19~,26~
This place is incredibly tiny.,place~,RESTAURANT#MISCELLANEOUS~,negative~,5~,10~
They refuse to seat parties of 3 or more on weekends.,NULL~,SERVICE#GENERAL~,negative~,0~,0~
The hostess is rude to the point of being offensive.,hostess~,SERVICE#GENERAL~,negative~,4~,11~
The food was bland oily.,food~,FOOD#QUALITY~,negative~,4~,8~
I just don't understand all the hype...,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
We went to Ino for Valentines.
"We have been to this place many times, and always have great food, wine, and service.",food~wine~service~,FOOD#QUALITY~DRINKS#QUALITY~SERVICE#GENERAL~,positive~positive~positive~,61~67~77~,65~71~84~
"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait~,SERVICE#GENERAL~,positive~,86~,90~
As always we had a great glass of wine while we waited.,glass of wine~,DRINKS#QUALITY~,positive~,25~,38~
"When we sat, we got great and fast service.",service~,SERVICE#GENERAL~,positive~,35~,42~
The people that work there are always so friendly you forget you are in New York sometimes.,people~,SERVICE#GENERAL~,positive~,4~,10~
Make sure you try this place as often as you can.,place~,RESTAURANT#GENERAL~,positive~,23~,28~
This is a fun restaurant to go to.,restaurant~,RESTAURANT#GENERAL~,positive~,14~,24~
The pizza is yummy and I like the atmoshpere.,pizza~atmoshpere~,FOOD#QUALITY~AMBIENCE#GENERAL~,positive~positive~,4~34~,9~44~
But the pizza is way to expensive.,pizza~,FOOD#PRICES~,negative~,8~,13~
"A large is $20, and toppings are about $3 each.",NULL~toppings~,FOOD#PRICES~FOOD#PRICES~,negative~negative~,0~20~,0~28~
I went there for lunch and it was not as good as I expected from the reviews I read.,lunch~,FOOD#QUALITY~,negative~,17~,22~
Sauce was watery and the food didn't have much flavor.,Sauce~food~,FOOD#QUALITY~FOOD#QUALITY~,negative~negative~,0~25~,5~29~
"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you."
I don't think I would go again.,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
This place is great.,place~,RESTAURANT#GENERAL~,positive~,5~,10~
I had a huge group for my birthday and we were well taken care of.,NULL~,SERVICE#GENERAL~,positive~,0~,0~
The waitress was very patient with us and the food is phenomenal!,waitress~food~,SERVICE#GENERAL~FOOD#QUALITY~,positive~positive~,4~46~,12~50~
"Service was prompt, friendly and great.",Service~,SERVICE#GENERAL~,positive~,0~,7~
Slightly on the pricey side but worth it!,NULL~NULL~,RESTAURANT#PRICES~RESTAURANT#GENERAL~,negative~positive~,0~0~,0~0~
Great pizza and fantastic service.,pizza~service~,FOOD#QUALITY~SERVICE#GENERAL~,positive~positive~,6~26~,11~33~
"There was a small wait, but shorter than I expected.",wait~,SERVICE#GENERAL~,positive~,18~,22~
Located at the end of a magnificent block.,block~,LOCATION#GENERAL~,positive~,36~,41~
Very cozy and warm inside.....,NULL~,AMBIENCE#GENERAL~,positive~,0~,0~
I will be back!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
This is the best sushi in new york city - hands down.,sushi~,FOOD#QUALITY~,positive~,17~,22~
The place is small and cramped but the food is fantastic.,place~food~,AMBIENCE#GENERAL~FOOD#QUALITY~,negative~positive~,4~39~,9~43~
Get the tuna of gari.,tuna of gari~,FOOD#QUALITY~,positive~,8~,20~
The one on the east side is much better than the one on the west side.
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi~thai food~Planet Thailand~,FOOD#QUALITY~FOOD#QUALITY~RESTAURANT#GENERAL~,positive~positive~positive~,75~103~0~,80~112~15~
"With the great variety on the menu , I eat here often and never get bored .",menu~,FOOD#STYLE_OPTIONS~,positive~,30~,34~
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",atmosphere~NULL~,AMBIENCE#GENERAL~RESTAURANT#PRICES~,neutral~positive~,4~0~,14~0~
It's all about the food !!,food~,FOOD#QUALITY~,positive~,19~,23~
I went there with my friend last saturday.
first it took us a long time to find the place.,place~,RESTAURANT#MISCELLANEOUS~,negative~,41~,46~
"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers."
"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu~,FOOD#STYLE_OPTIONS~,negative~,26~,30~
then we ordered a dinosaur rolls and white tuna sashimi.
"those rolls were big, but not good and sashimi wasn't fresh.",rolls~rolls~sashimi~,FOOD#STYLE_OPTIONS~FOOD#QUALITY~FOOD#QUALITY~,neutral~negative~negative~,6~6~39~,11~11~46~
"they were dry and disgusting, i didn't even finish my first piece.",NULL~,FOOD#QUALITY~,negative~,0~,0~
Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,NULL~,SERVICE#GENERAL~,positive~,0~,0~
"Try the crunchy tuna, it is to die for.",crunchy tuna~,FOOD#QUALITY~,positive~,8~,20~
"Try everything for that matter, it is all good.",NULL~,FOOD#QUALITY~,positive~,0~,0~
I have been going there since it opened and I can't get enough.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
First went here to enjoy their garden terrace.,garden terrace~,AMBIENCE#GENERAL~,positive~,31~,45~
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food~service~,FOOD#QUALITY~SERVICE#GENERAL~,positive~positive~,4~30~,8~37~
"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare~,FOOD#STYLE_OPTIONS~,positive~,4~,17~
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",open kitchen~restaurant~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~,positive~negative~,71~34~,83~44~
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection~Gigondas~house champagne~,DRINKS#STYLE_OPTIONS~DRINKS#QUALITY~DRINKS#PRICES~,positive~positive~positive~,6~22~59~,20~30~74~
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",NULL~vibe~French food~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~FOOD#QUALITY~,neutral~positive~positive~,0~44~76~,0~48~87~
"Have recommended the place to friends, always gets good response.",place~,RESTAURANT#MISCELLANEOUS~,positive~,21~,26~
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",crust~pizza~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,77~17~,82~22~
Veal Parmigana - Better than Patsy's!
Much more reasonably priced too!
I take all my NYC guests to VT's.,VT's~,RESTAURANT#MISCELLANEOUS~,positive~,28~,32~
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",neighborhood~food~,LOCATION#GENERAL~FOOD#QUALITY~,positive~positive~,74~101~,86~105~
I've been there three times and have always had wonderful experiences.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,setting~service~NULL~,AMBIENCE#GENERAL~SERVICE#GENERAL~RESTAURANT#MISCELLANEOUS~,positive~positive~positive~,75~92~0~,82~99~0~
I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,Mizu~,RESTAURANT#GENERAL~,positive~,134~,138~
Even after they overcharged me the last time I was there.,NULL~,SERVICE#GENERAL~,negative~,0~,0~
Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll~,FOOD#QUALITY~,positive~,23~,41~
it's delicious!,NULL~,FOOD#QUALITY~,positive~,0~,0~
"Moules were excellent, lobster ravioli was VERY salty!",Moules~lobster ravioli~,FOOD#QUALITY~FOOD#QUALITY~,positive~negative~,0~23~,6~38~
"Took my mom for Mother's Day, and the maitre d' was pretty rude.",maitre d'~,SERVICE#GENERAL~,negative~,38~,47~
"Told us to sit anywhere, and when we sat he said the table was reserved.",NULL~,SERVICE#GENERAL~,negative~,0~,0~
Stepped on my foot on the SECOND time he reached over me to adjust lighting.,NULL~,SERVICE#GENERAL~,negative~,0~,0~
Tiny dessert was $8.00...just plain overpriced for what it is.,dessert~dessert~,FOOD#STYLE_OPTIONS~FOOD#PRICES~,negative~negative~,5~5~,12~12~
The drinks are always welll made and wine selection is fairly priced.,drinks~wine selection~,DRINKS#QUALITY~DRINKS#PRICES~,positive~positive~,4~37~,10~51~
Try their chef's specials-- they are to die for.,chef's specials~,FOOD#QUALITY~,positive~,10~,25~
"Service is not exactly five star, but thats not really a big deal.",Service~,SERVICE#GENERAL~,neutral~,0~,7~
Downstairs lounge is always a good attraction,Downstairs lounge~,AMBIENCE#GENERAL~,positive~,0~,17~
"Raga's is a romantic, cozy restaurant.",Raga's~,AMBIENCE#GENERAL~,positive~,0~,6~
The exotic food is beautifully presented and is a delight in delicious combinations.,exotic food~exotic food~,FOOD#STYLE_OPTIONS~FOOD#QUALITY~,positive~positive~,4~4~,15~15~
It is also extremely well priced.,NULL~,FOOD#PRICES~,positive~,0~,0~
The staff is incredibly helpful and attentive.,staff~,SERVICE#GENERAL~,positive~,4~,9~
The bar is very well stocked with interesting beers and well priced wines.,bar~beers~wines~,DRINKS#STYLE_OPTIONS~DRINKS#STYLE_OPTIONS~DRINKS#PRICES~,positive~positive~positive~,4~46~68~,7~51~73~
This is one of my favorite restaurants and it is not to be missed.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Your friends will thank you for introducing them to this gem!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",Leon~,RESTAURANT#GENERAL~,negative~,20~,24~
"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",waitress~,SERVICE#GENERAL~,negative~,4~,12~
"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ",NULL~,SERVICE#GENERAL~,negative~,0~,0~
Such a disappointment...,NULL~,SERVICE#GENERAL~,negative~,0~,0~
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",service~food~NULL~,SERVICE#GENERAL~FOOD#QUALITY~RESTAURANT#GENERAL~,negative~neutral~negative~,5~23~0~,12~27~0~
I had a grat time at Jekyll and Hyde!,Jekyll and Hyde~,RESTAURANT#GENERAL~,positive~,21~,36~
I loved everythig about it-especially the shows and actors.,NULL~shows~actors~,RESTAURANT#GENERAL~AMBIENCE#GENERAL~AMBIENCE#GENERAL~,positive~positive~positive~,0~42~52~,0~47~58~
Our server was very helpful and friendly.,server~,SERVICE#GENERAL~,positive~,4~,10~
I am bringing my whole family back next time.,NULL~,RESTAURANT#MISCELLANEOUS~,positive~,0~,0~
The food was good too.,food~,FOOD#QUALITY~,positive~,4~,8~
The tuna and wasabe potatoes are excellent.,tuna~wasabe potatoes~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,4~13~,8~28~
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere~,LOCATION#GENERAL~,positive~,4~,22~
"Inside is a little cramped, but to be expected.",NULL~,AMBIENCE#GENERAL~,neutral~,0~,0~
Service was prompt and courteous.,Service~,SERVICE#GENERAL~,positive~,0~,7~
This was a repeat visit and we'll definitely be back again.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Great service, great food.",service~food~,SERVICE#GENERAL~FOOD#QUALITY~,positive~positive~,6~21~,13~25~
Prices are in line.,NULL~,RESTAURANT#PRICES~,neutral~,0~,0~
"Compared to other shabu restaurants around town, this places wins hands-down."
But too far east!,NULL~,LOCATION#GENERAL~,negative~,0~,0~
I live a block away and go to Patsy's frequently.
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza~fresh mozzarella~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,4~34~,9~50~
"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",appetizer selection~,FOOD#STYLE_OPTIONS~,negative~,22~,41~
"Also, because it is so thin, it gets cold very quickly and its not that filling.",NULL~NULL~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~,negative~negative~,0~0~,0~0~
So eat fast and order a lot.
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,Wait staff~pie~,SERVICE#GENERAL~FOOD#QUALITY~,negative~positive~,0~74~,10~77~
By far the best salad I have had in a fast food restaurant.,salad~,FOOD#QUALITY~,positive~,16~,21~
fine dining restaurant quality.,dining~,FOOD#QUALITY~,positive~,5~,11~
Over 100 different choices to create your own.,NULL~,FOOD#STYLE_OPTIONS~,positive~,0~,0~
