text,target,category,polarity,from,to
"К большому удивлению пицца (ещё раз - из детского меню!) была на столько острая, что и взрослые не смогли её есть, не говоря уже о ребенке.",пицца~,FOOD#QUALITY~,negative~,21~,26~
"Официант вообще прокомментировала это так, что детское меню - это для взрослых, которые хотят заказать маленькие порции, а не для детей. :)) 2.",Официант~,SERVICE#GENERAL~,negative~,0~,8~
"Попросили принести обычный яблочный сок, не свежевыжатый, принесли свежевыжатый, пришлось вернуть. 3.",NULL~,SERVICE#GENERAL~,negative~,0~,0~
"Просили принести ""свежевыжатый сок в большом стакане + газированную воду"" сок принесли в маленьком стакане про воду забыли. 4.",NULL~,SERVICE#GENERAL~,negative~,0~,0~
Просили официанта помочь выбрать из 2-х блюд.,,,,,
"Официант сказал ""у нас все вкусное"" и помочь с выбором не смог.",Официант~,SERVICE#GENERAL~,negative~,0~,8~
"За кухню оценка 3, т.к. из всего заказа понравилась только панакота.",кухню~панакота~,FOOD#QUALITY~FOOD#QUALITY~,negative~positive~,3~59~,8~67~
Салат Цезарь был так себе + очень острая пицца из детского меню.,Салат Цезарь~пицца~,FOOD#QUALITY~FOOD#QUALITY~,negative~negative~,0~41~,12~46~
"За сервис 3, т.к. официант путала заказы, не могла помочь с выбором (или не хотела, когда клиент просит помочь определиться, он не хочет услышать ""все вкусное, берите все"").",сервис~официант~,SERVICE#GENERAL~SERVICE#GENERAL~,negative~negative~,3~18~,9~26~
"А мнение что детское меню не для детей, вообще ""убило"".",NULL~,SERVICE#GENERAL~,negative~,0~,0~
"Из плюсов хочу отметить няню в детской комнате, очень милая девушка, ребенку очень понравилась.",няню~девушка~,SERVICE#GENERAL~SERVICE#GENERAL~,positive~positive~,24~60~,28~67~
"Я не ходила в этот ресторан в детстве, не знаю, как всё было когда-то, но сейчас это вполне симпатичное и уютное заведение с хорошей кухней.",заведение~заведение~кухней~,RESTAURANT#GENERAL~AMBIENCE#GENERAL~FOOD#QUALITY~,positive~positive~positive~,113~113~133~,122~122~139~
"Впервые посетили ""Чебурек"" c месяц назад - отмечали с друзьями прошедшую ранее свадьбу.",,,,,
"Администрация любезно предоставила нам новый банкетный зал, где мы закрылись, включили свою музыку, курили кальян, веселились, и нам никто не мешал.",Администрация~,SERVICE#GENERAL~,positive~,0~,13~
"Кухня всем друзьям понравилась, обслуживание тоже (девушки-официантки замечательные).",Кухня~обслуживание~девушки-официантки~,FOOD#QUALITY~SERVICE#GENERAL~SERVICE#GENERAL~,positive~positive~positive~,0~32~51~,5~44~69~
"Меня же больше всего порадовало, что администрация пошла нам навстречу и сделала хорошую скидку на банкет :)",NULL~администрация~,RESTAURANT#PRICES~SERVICE#GENERAL~,positive~positive~,0~37~,0~50~
"Уже через неделю моя подруга вернулась в ""Чебурек"" со своими родными, где они отметили юбилей отца.","""Чебурек""~",RESTAURANT#GENERAL~,positive~,41~,50~
Мы также возвращаемся сюда снова и снова.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Единственное, что расстраивает - это рост цен.",NULL~,RESTAURANT#PRICES~,negative~,0~,0~
За последний месяц цены менялись уже два раза.,NULL~,RESTAURANT#PRICES~,negative~,0~,0~
"Растут они по чуть-чуть, но всё равно стоимость ужина на двоих с каждым посещением получалась у нас всё выше и выше :)",ужин~,RESTAURANT#PRICES~,negative~,48~,52~
"Но без этого, конечно, никуда.",,,,,
"Из кухни могу порекомендовать: чебуреки с сыром сулугуни и зеленью (волшебные!), сациви из баклажан, суп чанахи, конечно же, хинкали, ну и, наверное, бараньи ножки (не помню точное название блюда).",чебуреки с сыром сулугуни и зеленью~сациви из баклажан~суп чанахи~хинкали~бараньи ножки~,FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~,positive~positive~positive~positive~positive~,31~81~101~125~150~,66~99~111~132~163~
"Всё это не оставит равнодушным никого, очень вкусно и ""аутентично""!))",NULL~,FOOD#QUALITY~,positive~,0~,0~
Посещала это заведение раз пять.,,,,,
Возвращаться туда заставляла лишь хорошая кухня..,кухня~,FOOD#QUALITY~,positive~,42~,47~
Карпаччо подают со всевозможными бальзамиками и маслом.,,,,,
Неплохой выбор вин.,вин~,DRINKS#STYLE_OPTIONS~,neutral~,15~,18~
"Интерьер приятный: есть гардероб, диваны, приглушенный свет, ненавязчивая музыка (даже как-то раз наткнулись там на саксофониста), приятная атмосфера...",Интерьер~гардероб~диваны~музыка~атмосфера~,AMBIENCE#GENERAL~RESTAURANT#MISCELLANEOUS~AMBIENCE#GENERAL~AMBIENCE#GENERAL~AMBIENCE#GENERAL~,positive~positive~positive~positive~positive~,0~24~34~74~140~,8~32~40~80~149~
НО!,,,,,
Обслуживание отвратительно!,Обслуживание~,SERVICE#GENERAL~,negative~,0~,12~
"Навсегда останется в памяти официант, который обращался к нам исключительно на ""ты"", дерзил, а когда ему было сделано замечание, он нам сообщил, что он поругался со своей девушкой и у него отвратительное настроение!",официант~,SERVICE#GENERAL~,negative~,28~,36~
"В В другой раз нам ""повезло"" не меньше.",,,,,
Муж заказал стейк и мы често ждали его прибытия больше часа!,NULL~,SERVICE#GENERAL~,negative~,0~,0~
"Когда наша официантка все таки соизволила появиться (сидели мы почти у входа), от стейка мы отказались, но он волшебным образом всё равно оказался на столе уже через 5 минут и пришлось долго объяснять официантке, что его уже никто есть не будет!...",официантка~,SERVICE#GENERAL~,negative~,11~,21~
"Резюме следующее: место в целом отличное, цены не кусаются, но следует серьезно задуматься о замене персонала...",NULL~место~персонала~,RESTAURANT#PRICES~RESTAURANT#GENERAL~SERVICE#GENERAL~,positive~positive~negative~,0~18~100~,0~23~109~
"Субботним вечером зашли компанией в кафе Dolce Italy, попить кофе с пирожными.",,,,,
"Было без пятнадцати девять, а кафе, как оказалось, закрывается ровно в девять вечера.",,,,,
"Нам любезно предложили разместиться в ресторане, а пирожные пообещали принести туда.",NULL~,SERVICE#GENERAL~,positive~,0~,0~
Так и произошло наше знакомство с рестораном Italy.,,,,,
"Народу было много, полный зал.",,,,,
"Для нас смогли найти только столик для курящих, но это сильно не помешало, так как вентиляция справляется.",вентиляция~,AMBIENCE#GENERAL~,positive~,83~,93~
"То что мы заказывали, нам понравилось.",NULL~,FOOD#QUALITY~,positive~,0~,0~
"Интерьер спокойный, сделано со вкусом, но без особых изысков.",Интерьер~,AMBIENCE#GENERAL~,neutral~,0~,8~
"На мой взгляд, больше подходит для компании, чем для того, чтобы прийти вдвоём.",,,,,
"Что касается сервиса, то официантка в начале про нас забыла, пришлось окримнуть, чтоб сделать заказа.",сервиса~официантка~,SERVICE#GENERAL~SERVICE#GENERAL~,negative~negative~,13~25~,20~35~
Но в остальном всё вежливо и предупредительно.,NULL~,SERVICE#GENERAL~,positive~,0~,0~
К салату цезарь нужен был соус без анчоусов.,,,,,
"Вначале повар сказал, что они могут предложить лишь майонез, что соус готовится утром одинаковый для всех.",повар~майонез~соус~,FOOD#STYLE_OPTIONS~FOOD#STYLE_OPTIONS~FOOD#STYLE_OPTIONS~,negative~negative~negative~,8~52~65~,13~59~69~
Минут через десять прибежал снова и обещал сделать всё в лучшем виде..,,,,,
"В общем, зайдём в это место снова.",место~,RESTAURANT#GENERAL~,positive~,22~,27~
Обязательно попробуем больше итальянских блюд.,,,,,
Давно уже хотим с женой найти для себя хороший итальянский ресторан.
Вдруг Italy окажется именно им? :),,,,,
Заезжали поужинать с подругой пару недель назад.,,,,,
Столик не заказывали.,,,,,
"Про сервис ничего негативного не скажешь- быстро подходят, все улябаются, подходят спрашивают, всё ли нравится.",сервис~,SERVICE#GENERAL~,neutral~,4~,10~
Приятно.,,,,,
"Интерьер на любителя, но мило и удобно.",Интерьер~,AMBIENCE#GENERAL~,neutral~,0~,8~
Еда хорошая.,Еда~,FOOD#QUALITY~,positive~,0~,3~
"Вкусно, не так дорого.",NULL~NULL~,FOOD#QUALITY~FOOD#PRICES~,positive~positive~,0~0~,0~0~
"Подача плова- оригинальная, но...",Подача плова~,FOOD#STYLE_OPTIONS~,conflict~,0~,12~
"Мне лично это не понравилось, хотя идея конечно не плохая.",,,,,
Девушкам явно нравится.,,,,,
Я лично ожидал чуть боьше блюд из мяса в таком ресторане на мангале.,блюд из мяса~,FOOD#STYLE_OPTIONS~,negative~,26~,38~
"С другой стороны по одному шашлыку есть из каждого вида мяса, в принципе хватает, но хочется чего то необычное увидеть..",шашлыку~,FOOD#STYLE_OPTIONS~,neutral~,27~,34~
Первое посещение Дачи было в рамках поиска ресторана для проведения свадебного банкета.,,,,,
Прямо с порога радушное отношение.,отношение~,SERVICE#GENERAL~,positive~,24~,33~
Очень вежливый и приятный мужчина из гардероба.,мужчина из гардероба~,SERVICE#GENERAL~,positive~,26~,46~
"Улыбка, настроение улучшается!.",NULL~,SERVICE#GENERAL~,positive~,0~,0~
"Вызвал нам администратора, наиприятнейшая девушка, все рассказала, показала, никаких вопросов не возникло ,даже заглянули краем глаза в малый зал (в это время там начинался банкет).",администратора~девушка~,SERVICE#GENERAL~SERVICE#GENERAL~,positive~positive~,11~42~,25~49~
"Оставили координаты, в этот же вечер было получено на почту меню.",NULL~,SERVICE#GENERAL~,positive~,0~,0~
"Девушки официантки все здороваются и улыбаются, интерьер потрясающий.",Девушки официантки~интерьер~,SERVICE#GENERAL~AMBIENCE#GENERAL~,positive~positive~,0~48~,18~56~
Решили вернуться пообедать.,,,,,
Опять радушная встреча в гардеробе.,встреча~,SERVICE#GENERAL~,positive~,15~,22~
"Приятный комплимент в холодную погоду, пока ждали заказ попили горячего чая, потрясающе!",NULL~чая~,SERVICE#GENERAL~DRINKS#QUALITY~,positive~positive~,0~72~,0~75~
"Девушка официантка (в чеке было написано Луиза) вежливая, обслуживание ненавязчивое, качественное.",Девушка официантка~обслуживание~,SERVICE#GENERAL~SERVICE#GENERAL~,positive~positive~,0~58~,18~70~
Кухня очень хорошая!,Кухня~,FOOD#QUALITY~,positive~,0~,5~
"Мясо из своей коптильни потрясающее, вкуснятина!",Мясо~,FOOD#QUALITY~,positive~,0~,4~
Порции большие.,Порции~,FOOD#QUALITY~,positive~,0~,6~
Остались очень довольны!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Сомнений по поводу выбора ресторана на свадьбу не возникло, надеюсь, что в самый важный день нашей жизни мы тоже останемся довольны, на этой неделе идем заказывать :).",ресторана~,RESTAURANT#GENERAL~,positive~,26~,35~
Всем советую сходить в это замечательное место!,место~,RESTAURANT#GENERAL~,positive~,41~,46~
Были сегодня с молодым человеком впервые.,,,,,
"Могу сказать одно - нашли место, куда действительно стоит зайти каждому и приятно провести время в тихой, уютной обстановке.",место~обстановке~,RESTAURANT#GENERAL~AMBIENCE#GENERAL~,positive~positive~,26~113~,31~123~
"Правда, очень мило, романтично свечи в воде на каждом столике, удобные кресла, приглушенный свет, музыка, аромат даже..все как надо.",свечи~кресла~приглушенный свет~музыка~аромат~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~AMBIENCE#GENERAL~AMBIENCE#GENERAL~AMBIENCE#GENERAL~,positive~positive~positive~positive~positive~,31~71~79~98~106~,36~77~96~104~112~
Японская кухня - на 5+..от запченных роллов сложно было оторваться),Японская кухня~запченных роллов~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,0~27~,14~43~
"Европейская кухня не отстает..)все по высшему разрду. за достаточно низкие цены очень вкусно.и сервис..приятные девушки, очень быстро принесли заказ, все здорово.",Европейская кухня~Европейская кухня~сервис~девушки~,FOOD#PRICES~FOOD#QUALITY~SERVICE#GENERAL~SERVICE#GENERAL~,positive~positive~positive~positive~,0~0~95~112~,17~17~101~119~
коктели и алкоголь видно что не разбавленные и тоже на 5+. в общем вывод один - еще и еще туда будм приходить и не раз! советую.,коктели~алкоголь~,DRINKS#QUALITY~DRINKS#QUALITY~,positive~positive~,0~10~,7~18~
"Побывали впервые в День всех влюбленных в этом ресторане,уж очень понравился видео ролик этого ресторана и мы решили сходить.",ресторана~,RESTAURANT#GENERAL~,positive~,95~,104~
"Интерьер на высоком уровне,при входе нас встретил молодой человек и предложил выбрать понравившийся нам столик и предупредил нас, что горячее придется немного дольше подождать т.к. в ресторане было не мало народу,но нас это не смутило,поскольку мы заранее были предупреждены,а это не мало важно.",Интерьер~молодой человек~,AMBIENCE#GENERAL~SERVICE#GENERAL~,positive~positive~,0~50~,8~65~
"Качество кухни было без замечаний,обслуживание было достаточно внимательное на наш взгляд,но было немного видно,что некая суета присутствовала.",Качество кухни~обслуживание~,FOOD#QUALITY~SERVICE#GENERAL~,neutral~positive~,0~34~,14~46~
"В целом,мы остались под хорошим впечатлением о проведенном вечере.",NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Спасибо,,,,,
"Вчера, стало быть в понедельник, 14 февраля, отправился в это местечко, ранее мне неизвестное.",,,,,
"Обстановка милая, уютная.",Обстановка~,AMBIENCE#GENERAL~,positive~,0~,10~
"Есть, конечно, как и в любом другом кафе столики, которые уютными не назовешь, но всем не угодишь и в целом мне обстановка понравилась.",обстановка~,AMBIENCE#GENERAL~,positive~,112~,122~
"Сразу видно, что к интерьеру подходили как можно тщательнее, это радует.",интерьеру~,AMBIENCE#GENERAL~,positive~,19~,28~
Администратор и официанты весьма вежливы.,Администратор~официанты~,SERVICE#GENERAL~SERVICE#GENERAL~,positive~positive~,0~16~,13~25~
"В кафе чувствуется от персонала, что люди хотят работать и это им нравится, а это самое главное!)",персонала~,SERVICE#GENERAL~,positive~,22~,31~
Никаких задержек при подаче блюд/напитков не было.,NULL~,SERVICE#GENERAL~,positive~,0~,0~
"Единственное удивление образовалось, когда на десерт мне принесли ложку вместо десертной вилки, но это проблем не вызвало.",NULL~,SERVICE#GENERAL~,negative~,0~,0~
Но вы попробовали бы этот десерт м.м.м.,десерт~,FOOD#QUALITY~,positive~,26~,32~
"Десерт был очень вкусный, нам понравилось)",Десерт~,FOOD#QUALITY~,positive~,0~,6~
"Суши панированные в рыбных сухарях или как-то так вызвали очень много восхищения, т.к. это было действительно вкусно.",Суши панированные в рыбных сухарях~,FOOD#QUALITY~,positive~,0~,34~
"По кухне можно сказать, что это кафе для тех, кто любит соотношение цены и качества.",кухне~кафе~,FOOD#QUALITY~RESTAURANT#PRICES~,positive~positive~,3~32~,8~36~
Есть все необходимое.,,,,,
В целом кафе оставляет очень приятные воспоминания.,кафе~,RESTAURANT#GENERAL~,positive~,8~,12~
Всем очень рекомендую сходить и попробовать местную японскую кухню.,японскую кухню~,FOOD#QUALITY~,positive~,52~,66~
На втором этаже на диванчиках весьма удобно разместиться компанией.,втором этаже~диванчиках~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~,positive~positive~,3~19~,15~29~
Недавно отмечали в Санам день рождения.,,,,,
Безумно понравилось.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Гости в восторге.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Прекрасный интерьер, хорошее обслуживание, быстро, ненавязчиво.",интерьер~обслуживание~,AMBIENCE#GENERAL~SERVICE#GENERAL~,positive~positive~,11~29~,19~41~
Кухня понравилась.,Кухня~,FOOD#QUALITY~,positive~,0~,5~
"Есть и восточные блюда, и европейские, и японские.",блюда~,FOOD#STYLE_OPTIONS~,positive~,17~,22~
"Так как в нашей компании у всех разные вкусы это очень порадовало, каждый нашел для себя подходящее блюдо.",блюдо~,FOOD#STYLE_OPTIONS~,positive~,100~,105~
"Большие порции, все очень вкусно.",порции~порции~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~,positive~positive~,8~8~,14~14~
Очень понравился кальян.,кальян~,RESTAURANT#MISCELLANEOUS~,positive~,17~,23~
"Так же большой выбор коктейлей, некоторые очень неплохие.",коктейлей~,DRINKS#STYLE_OPTIONS~,positive~,21~,30~
Особенно понравились оргазм и клубничная маргарита.,оргазм~клубничная маргарита~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,21~30~,27~50~
"В целом все остались довольны, все советую!",NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Решили недалеко от дома сходить в китайский ресторанчик, самым близким оказался Жен-Жен.",,,,,
На первый взгляд с улицы были видны китайские аттрибуты.,,,,,
"Внутри на первом этаже танцпол, гудела европейская попса, нас попросили пройти на второй этаж.",,,,,
"Была приятно удивлена ""китайским интерьером"" - диванчики как в бистро, скатерти на столах по типу а-ля столовая, европейские светильники/люстры, в общем в плане интерьера китайского никакого абсолютно!",китайским интерьером~диванчики~скатерти на столах~интерьера~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~AMBIENCE#GENERAL~AMBIENCE#GENERAL~,negative~negative~negative~negative~,23~47~71~161~,43~56~89~170~
Заведение неуютное.,Заведение~,AMBIENCE#GENERAL~,negative~,0~,9~
"Ну так как ехать в другое место уже не было сил, решили заказать все-такие еду.",,,,,
"Меню не порадовало - отпечатанные листки, не особо понятен состав блюд и вес, о картинках даже речи не было.",Меню~состав блюд~,FOOD#STYLE_OPTIONS~FOOD#STYLE_OPTIONS~,negative~negative~,0~59~,4~70~
"Ну ладно - с китайской кухней знакомы - заказали говядину, свинину, рис, пару закусок, порции оказались большими, еда - вкусной, принесли все горячее.",говядину~свинину~рис~закусок~порции~еда~,FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~FOOD#STYLE_OPTIONS~FOOD#QUALITY~,positive~positive~positive~positive~positive~positive~,49~59~68~78~87~114~,57~66~71~85~93~117~
Конечно посуда и сервировка стола могли бы быть и получше.,посуда~сервировка~,FOOD#STYLE_OPTIONS~FOOD#STYLE_OPTIONS~,negative~negative~,8~17~,14~27~
"По поводу сервиса - официантка не здоровалась, не успели сесть - пришла за заказом,правда блюда вынесли быстро, но счет пришлось ждать....при том, что кроме нас было занято всего 2 столика еще.",официантка~,SERVICE#GENERAL~,negative~,20~,30~
"в общем покушать было вкусно, но второй раз идти не хочется - люблю все же чтоб присутствоавал китайский антураж в подобных местах.",NULL~NULL~,FOOD#QUALITY~AMBIENCE#GENERAL~,positive~negative~,0~0~,0~0~
"Недавно от знакомых узнала про ресторан ""Мамалыга"".",,,,,
В воскресенье вечером находясь рядом решила посетить .,,,,,
"Заходим в ресторан, где нас встречает доброжелательная, красивая девушка.",девушка~,SERVICE#GENERAL~,positive~,65~,72~
"Она провожает к столу, указывает где можно оставить верхнюю одежду(",NULL~,SERVICE#GENERAL~,positive~,0~,0~
"Гардероба в заведении нет, зато есть напольные вешалки) .через несколько минут к нам подошел официант с меню .",NULL~официант~,AMBIENCE#GENERAL~SERVICE#GENERAL~,neutral~positive~,0~93~,0~101~
Интерьер мне очень понравился!,Интерьер~,AMBIENCE#GENERAL~,positive~,0~,8~
Весьма необычное и интересное дизайнерское решение.,дизайнерское решение~,AMBIENCE#GENERAL~,positive~,30~,50~
Все детали продуманы до мелочей и вместе создают замечательную атмосферу тепла и комфорта.,атмосферу~,AMBIENCE#GENERAL~,positive~,63~,72~
"Меню хорошо смотреться и легко читается, а также присутствует специальное предложение.",Меню~,FOOD#STYLE_OPTIONS~,positive~,0~,4~
Приятно удивили цены.,NULL~,RESTAURANT#PRICES~,positive~,0~,0~
С сервисом полный порядок.,сервисом~,SERVICE#GENERAL~,positive~,2~,10~
"Официанты Меню знают, работают слажено, внимательны к гостям.",Официанты~,SERVICE#GENERAL~,positive~,0~,9~
"Улыбаются, что всегда приятно. одним словом обслуживание 10баллов придраться не к чему не смотря на большое количество гостей .",обслуживание~,SERVICE#GENERAL~,positive~,44~,56~
"Готовят долго, но не критично.(может быть из за того что в заведении было очень много гостей)",,,,,
"Готовят очень вкусно , особенно шашлыки и наполеон .(спасибо большое поварам )",шашлыки~наполеон~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,32~42~,39~50~
А еще отличный кавказский базар.,кавказский базар~,RESTAURANT#MISCELLANEOUS~,positive~,15~,31~
"Перед уходом не удержалась, купила фрукты (очень вкусные).",,,,,
Благодаря вкусной еде и приятной атмосфере мы остались очень довольны и прекрасно провели вечер!,NULL~еде~атмосфере~,RESTAURANT#GENERAL~FOOD#QUALITY~AMBIENCE#GENERAL~,positive~positive~positive~,0~18~33~,0~21~42~
Спасибо огромное за чудесный ресторан.,ресторан~,RESTAURANT#GENERAL~,positive~,29~,37~
Теперь буду частенько посещать ваше заведение!!!!,заведение~,RESTAURANT#GENERAL~,positive~,36~,45~
Один из моих любимых ресторанов.,ресторанов~,RESTAURANT#GENERAL~,positive~,21~,31~
"С самого открытия посещаю его, так как раньше жила рядом.",NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"При открытии подарили дисконтную карту 20% в подарок, и это стало мотивацией к частому посещению.",NULL~,SERVICE#GENERAL~,positive~,0~,0~
"Все всегда все очень вкусное: борщ с копченостями, роллы на гриле, обалденная филадельфия.",борщ с копченостями~роллы на гриле~филадельфия~,FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~,positive~positive~positive~,30~51~78~,49~65~89~
"Мой молодой человек скептически относился к моим отзывам, пока я его не привела туда.",,,,,
"Поели рибай, после чего сделали вывод, что он был лучше, чем в некоторых стейк-хаусах.",рибай~,FOOD#QUALITY~,positive~,6~,11~
Любимый салат цезарь с креветками тоже был хорош.,салат цезарь с креветками~,FOOD#QUALITY~,positive~,8~,33~
"Порции большие, красивые тарелки, хорошее обслуживание.",Порции~тарелки~обслуживание~,FOOD#STYLE_OPTIONS~FOOD#STYLE_OPTIONS~SERVICE#GENERAL~,positive~positive~positive~,0~25~42~,6~32~54~
"По обслуживание отдельно: есть официанты, которые работают с самого открытия-это тоже неплохой показатель качества.",обслуживание~официанты~,SERVICE#GENERAL~SERVICE#GENERAL~,positive~positive~,3~31~,15~40~
Шеф-повар тоже с самого открытия.,Шеф-повар~,SERVICE#GENERAL~,positive~,0~,9~
Даже бизнес-ланч вкусный.,бизнес-ланч~,FOOD#QUALITY~,positive~,5~,16~
По десертам ничего сказать не могу-не пробовала.,,,,,
"Интерьер достаточно спокойный, в бежево-коричневых тонах, но не дешевый, не скажешь, что это какое то кафе у ""черта на куличках"".",Интерьер~,AMBIENCE#GENERAL~,neutral~,0~,8~
А в этом заведении ни разу не было разочарований за все время-не вру!,заведении~,RESTAURANT#GENERAL~,positive~,9~,18~
